2026-03-25 20:42 MSK | Reorganized /home/japonamat/pet into projects and ideas subdirectories; moved existing idea files into /home/japonamat/pet/ideas | Why: separate pet projects from idea notes and define a stable home for non-study projects | Verification: passed via find /home/japonamat/pet -maxdepth 2 -mindepth 1 | Rollback: move files back to /home/japonamat/pet and remove empty subdirectories | Relogin/Reboot: no
2026-03-25 20:46 MSK | Created local project /home/japonamat/pet/projects/Photo_Trap, initialized git, configured origin git@github.com:cmdrJaponamat/Photo_Trap.git, added project recovery and PRD, and registered the project in PROJECT_CONTEXTS.md | Why: start the new pet project in a dedicated non-study location with persistent recovery context | Verification: passed via git remote -v and file presence checks | Rollback: remove /home/japonamat/pet/projects/Photo_Trap and delete the Photo_Trap entry from PROJECT_CONTEXTS.md if the project is abandoned | Relogin/Reboot: no
2026-03-25 20:48 MSK | Created initial commit fcb986d in /home/japonamat/pet/projects/Photo_Trap and attempted push to origin | Why: finish the discrete project bootstrap step under git | Verification: local commit passed; push failed due to missing GitHub SSH public key access in the current session | Rollback: git -C /home/japonamat/pet/projects/Photo_Trap reset --hard HEAD~1 only if the project bootstrap must be discarded manually | Relogin/Reboot: no
2026-03-25 20:54 MSK | Added initial Android scaffold for Photo_Trap with Kotlin, Compose, compileSdk/targetSdk 36, minSdk 30, CameraX dependencies, README updates, and architecture notes | Why: start implementation against Android 11+ through modern target SDKs while keeping camera-specific architecture explicit | Verification: file structure and Gradle config reviewed locally; build not executed because Android SDK, Gradle, adb, and JDK 17 are not installed on this machine | Rollback: git revert the scaffold commit in /home/japonamat/pet/projects/Photo_Trap if the bootstrap direction changes | Relogin/Reboot: no
2026-03-25 22:42 MSK | Installed Android development toolchain: jdk17-openjdk, gradle, android-tools; switched default Java to java-17-openjdk; installed Android SDK command-line tools, platform-tools, platforms;android-36, build-tools;36.0.0; generated Gradle wrapper and verified Photo_Trap debug build | Why: make the Photo_Trap Android project locally buildable on this workstation | Verification: passed via java -version, sdkmanager --version, and successful ./gradlew assembleDebug in /home/japonamat/pet/projects/Photo_Trap | Rollback: pacman -Rns jdk17-openjdk gradle android-tools if toolchain must be removed; switch Java back with sudo archlinux-java set java-8-openjdk if needed; remove /home/japonamat/Android/Sdk manually if SDK should be purged | Relogin/Reboot: no
2026-03-25 22:22 MSK | Updated Clash Verge local rules profile /home/japonamat/.local/share/io.github.clash-verge-rev.clash-verge-rev/profiles/rtBxJA1UhmGc.yaml to route fiverr.com and all subdomains via group "🚫 Недоступные сайты" | Why: make www.fiverr.com and related subdomains consistently use the blocked-sites proxy path | Verification: passed via file content check of the prepend rule | Rollback: remove the DOMAIN-SUFFIX,fiverr.com,🚫 Недоступные сайты entry from the rules profile | Relogin/Reboot: no
2026-03-25 22:38 MSK | Extended Clash Verge local profile overlays for Fiverr by adding inline rule-provider and DNS nameserver-policy in /home/japonamat/.local/share/io.github.clash-verge-rev.clash-verge-rev/profiles/m9avkBFXPZvM.yaml and switching rules overlay /home/japonamat/.local/share/io.github.clash-verge-rev.clash-verge-rev/profiles/rtBxJA1UhmGc.yaml to RULE-SET,fiverr-inline,🚫 Недоступные сайты | Why: make Fiverr behave like the main blocked-site categories with aligned DNS and routing logic instead of a single standalone domain rule | Verification: passed via file content checks of both overlays | Rollback: remove the fiverr-inline sections from the merge overlay and remove RULE-SET,fiverr-inline,🚫 Недоступные сайты from the rules overlay | Relogin/Reboot: no
2026-03-25 22:50 MSK | Changed Clash Verge selected outbound for group "🚫 Недоступные сайты" in /home/japonamat/.local/share/io.github.clash-verge-rev.clash-verge-rev/profiles.yaml from "🎲 Любой доступный сервер" to "🇱🇻 Латвия, Рига" after log inspection | Why: fiverr routing rule was matching correctly, but the previously used Swedish node showed timeout symptoms, so a fixed working exit was needed for troubleshooting | Verification: passed via profiles.yaml content check and service logs confirming fiverr matched the blocked-sites rule-set before the selection change | Rollback: change the selected value back to "🎲 Любой доступный сервер" or another desired node in profiles.yaml or via UI | Relogin/Reboot: no
2026-03-25 22:52 MSK | Extended Clash Verge local fiverr-inline rule-provider in /home/japonamat/.local/share/io.github.clash-verge-rev.clash-verge-rev/profiles/m9avkBFXPZvM.yaml with DOMAIN-SUFFIX,fiverrcdn.com | Why: service logs showed failing asset requests were going to npm-assets.fiverrcdn.com, which was outside the previous fiverr.com-only rule | Verification: passed via file content check and prior logs showing npm-assets.fiverrcdn.com matched the default route before this change | Rollback: remove DOMAIN-SUFFIX,fiverrcdn.com from the fiverr-inline payload | Relogin/Reboot: no
2026-03-25 22:59 MSK | Created /home/japonamat/cv_fiverr.md as an English Markdown CV draft for Fiverr based on the user's local project history and provided personal details | Why: prepare a reusable experience summary that can be exported to PDF for Fiverr profile setup | Verification: file created and content reviewed locally | Rollback: delete /home/japonamat/cv_fiverr.md or edit the text if the positioning changes | Relogin/Reboot: no
2026-03-25 23:02 MSK | Updated /home/japonamat/cv_fiverr.md to remove the explicit public name of the unfinished Photo_Trap project and replace it with a generic private Android prototype description | Why: avoid exposing an unfinished private project name in a public Fiverr-facing CV | Verification: updated section reviewed locally in the Markdown file | Rollback: restore the previous project title and wording if public naming becomes acceptable later | Relogin/Reboot: no
2026-03-25 23:04 MSK | Further generalized the private Android project section in /home/japonamat/cv_fiverr.md to remove content hints about the app's original purpose and specific feature direction | Why: keep the unfinished private project non-identifiable in a public-facing CV | Verification: revised wording reviewed locally in the Markdown file | Rollback: reintroduce more specific wording later if the project becomes public | Relogin/Reboot: no
2026-03-25 23:19 MSK | Repositioned /home/japonamat/cv_fiverr.md toward realistic high-conversion entry-level freelance services with narrower focus on scripting, automation, backend utilities, debugging, and small technical tasks | Why: broad “I can do anything” positioning converts poorly for new freelancer profiles, while narrower practical offers align better with current freelance demand and the user's actual background | Verification: revised Markdown content reviewed locally after applying the wording changes | Rollback: edit the summary, services, and positioning sections back to the previous broader wording if a different market strategy is desired | Relogin/Reboot: no
2026-03-25 23:23 MSK | Reworked /home/japonamat/cv_fiverr.md into a more Fiverr-oriented service document with clearer offer groups and added Bash/PowerShell scripting as realistic automation skills | Why: service marketplace conversion usually improves when offers are grouped into concrete buyer-facing categories instead of generic skill lists, and Bash/PowerShell fit the user's real scripting positioning | Verification: updated Markdown content reviewed locally after the rewrite | Rollback: revert the document wording to the previous CV-style layout if a more traditional resume format is preferred | Relogin/Reboot: no
2026-03-25 23:29 MSK | Updated /home/japonamat/cv_fiverr.md to include game development as an interest area and as a fit for small starter tasks and technical prototypes | Why: reflect the user's real development direction while keeping the offer honest and scoped to beginner-friendly gamedev work | Verification: revised Markdown content reviewed locally after the edit | Rollback: remove the added game development mentions if the profile should stay fully non-gamedev-focused | Relogin/Reboot: no
2026-03-25 23:32 MSK | Converted /home/japonamat/cv_fiverr.md into /home/japonamat/cv_fiverr.pdf via pandoc-generated HTML and LibreOffice headless export | Why: produce a PDF version suitable for Fiverr profile upload after the Markdown content was finalized | Verification: PDF file created successfully at /home/japonamat/cv_fiverr.pdf and file presence confirmed with ls -l | Rollback: delete /home/japonamat/cv_fiverr.pdf and regenerate if the layout or content needs another pass | Relogin/Reboot: no
2026-03-26 00:09 MSK | Created /home/japonamat/fiverr_side_jobs_map.md with a prioritized Fiverr side-job map tailored to the current profile, including task ranking, starter price bands, hidden selection criteria, and next-step gig strategy | Why: define a realistic entry strategy for choosing part-time Fiverr work aligned with current skills, interests, and conversion goals | Verification: Markdown file created and reviewed locally | Rollback: delete or rewrite /home/japonamat/fiverr_side_jobs_map.md if the targeting strategy changes | Relogin/Reboot: no
